ticket_id,customer_id,company_name,issue_type,issue_category,priority,sentiment,language,created_date,resolved_date,resolution_time_hours,description_text,resolution_text,first_response_time_minutes,escalated,escalation_level,agent_id,satisfaction_score,next_best_offer_suggested,offer_accepted
TKT00000001,SME000109,Company_105,billing,administrative,critical,neutral,en,2025-09-26 10:32:26,2025-09-27 21:32:26,35,Invoice not received for current month,"Resent invoice to updated email address, verified delivery, confirmed payment due date",28,no,None,AGT014,1,None,None
TKT00000002,SME000072,Company_33,service_setup,sales,medium,frustrated,en,2025-08-19 10:32:26,2025-08-21 19:32:26,57,Need to configure backup schedule for VMs,"Set up automated backup schedule, configured retention policy, tested backup/restore",175,no,None,AGT001,3,Premium support tier,no
TKT00000003,SME000036,Company_79,iot,technical,medium,positive,en,2025-07-20 10:32:26,2025-07-23 05:32:26,67,Fleet tracking showing incorrect GPS locations,"Updated GPS firmware on devices, recalibrated positioning, accuracy improved",24,no,None,AGT047,3,Managed services plan,no
TKT00000004,SME000006,Company_88,billing,administrative,medium,neutral,en,2025-08-01 10:32:26,2025-08-04 10:32:26,72,Charged for services we did not order,"Investigated billing records, found error, issued credit and corrected future billing",133,no,None,AGT042,2,Security upgrade package,yes
TKT00000005,SME000065,Company_15,cloud,technical,high,positive,en,2025-08-18 10:32:26,2025-08-20 08:32:26,46,Disaster recovery test failed to restore,"Investigated backup integrity, found configuration error, corrected and re-tested successfully",161,no,None,AGT018,1,None,None
TKT00000006,SME000048,Company_56,billing,administrative,medium,positive,en,2025-07-16 10:32:26,2025-07-18 07:32:26,45,Invoice amount higher than expected this month,"Reviewed billing, explained prorated charges for mid-cycle upgrade, customer satisfied",163,no,None,AGT025,2,Managed services plan,yes
TKT00000007,SME000043,Company_89,connectivity,technical,medium,neutral,en,2025-06-08 10:32:26,2025-06-09 03:32:26,17,Unable to reach certain websites and services,"DNS configuration issue identified, updated DNS settings, tested resolution",97,no,None,AGT024,1,Security upgrade package,yes
TKT00000008,SME000036,Company_85,service_setup,sales,low,frustrated,en,2025-06-16 10:32:26,2025-06-19 07:32:26,69,Want to upgrade from Silver to Gold tier,"Reviewed upgrade options, processed tier change, applied benefits to account",170,no,None,AGT015,5,Security upgrade package,pending
TKT00000009,SME000110,Company_51,connectivity,technical,medium,neutral,en,2025-05-24 10:32:26,2025-05-25 11:32:26,25,Packet loss causing application failures,"Identified faulty network equipment, replaced switch, tested connectivity",52,no,None,AGT025,3,Managed services plan,pending
TKT00000010,SME000021,Company_31,connectivity,technical,high,angry,en,2025-08-25 10:32:26,2025-08-28 09:32:26,71,Router keeps rebooting automatically,"Defective router replaced with new unit, configured settings, monitored stability",33,no,None,AGT003,1,None,None
TKT00000011,SME000068,Company_23,iot,technical,high,negative,en,2025-06-07 10:32:26,2025-06-10 00:32:26,62,IoT devices going offline intermittently,"Checked SIM card connectivity, replaced faulty SIMs, devices back online",35,no,None,AGT023,2,IoT device expansion plan,pending
TKT00000012,SME000055,Company_74,connectivity,technical,critical,angry,en,2025-09-29 10:32:26,2025-10-01 17:32:26,55,Router keeps rebooting automatically,"Defective router replaced with new unit, configured settings, monitored stability",113,no,None,AGT036,3,Security upgrade package,yes
